J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.006528369414662839,0.9511580274145266,0.008279202286085563,0.9267888664363472,0.08921386924779125,3.0,HI-VAE_weibull
0.006745682621878419,0.950842917913975,0.017393678880535595,0.9231318688481845,0.12348385950809658,7.0,HI-VAE_weibull
0.005448482721222778,0.9565148889239011,0.009654250112855667,0.9162460074310671,0.1205556376153185,5.0,HI-VAE_weibull
0.006003369365905988,0.9519458011659051,0.007159215699003075,0.9227463659474611,0.10837855446463691,3.0,HI-VAE_weibull
0.006525233884847901,0.9566724436741768,0.024798224780929363,0.9133443712926146,0.10029001645961545,4.0,HI-VAE_weibull
0.006549932193259412,0.9487947061603909,0.011144451197278896,0.9158412098298676,0.09605015719292387,2.0,HI-VAE_weibull
0.005883445990903147,0.950842917913975,0.01205068065423328,0.9190464767616193,0.14082048889184864,6.0,HI-VAE_weibull
0.005853494796880527,0.9521033559161808,0.023047708234361086,0.9243980183821133,0.1027407036933084,3.0,HI-VAE_weibull
0.00539581240906867,0.9535213486686623,0.008107851025188403,0.926275470960172,0.1232914345461723,2.0,HI-VAE_weibull
0.005795807746156393,0.9535213486686622,0.013552331862370048,0.9004437781109444,0.09764810281906439,2.0,HI-VAE_weibull
0.006464299136602037,0.9497400346620452,0.029370513260196494,0.9162765139169545,0.1321784178067398,2.0,HI-VAE_weibull
0.006286431638201615,0.9539940129194896,0.01561690807409915,0.9177983182321883,0.13113092804695933,4.0,HI-VAE_weibull
0.006437509100564166,0.9494249251614936,0.01316310555514546,0.9086000912587184,0.10737804976401696,1.0,HI-VAE_weibull
0.005889267482553795,0.9519458011659051,0.008693992707536,0.9235826869174109,0.10533665399633031,3.0,HI-VAE_weibull
0.00631180468725403,0.9555695604222467,0.021191459828264862,0.915776546509354,0.13092314525697898,4.0,HI-VAE_weibull
0.005975098635427422,0.9539940129194894,0.007116142007470632,0.9286187341112054,0.11017675733606398,4.0,HI-VAE_weibull
0.005500619697604121,0.957145107925004,0.007663318656312108,0.9121246333355062,0.09773207947841822,5.0,HI-VAE_weibull
0.006987203394158634,0.9481644871592878,0.027469998421884523,0.926147969493514,0.0821825518185116,6.0,HI-VAE_weibull
0.0065158878963948695,0.9472191586576334,0.01030629526824383,0.9046300762662147,0.1430162046344469,3.0,HI-VAE_weibull
0.0050878434546432535,0.9550968961714197,0.008231475255895078,0.91349286226452,0.10194650538814255,4.0,HI-VAE_weibull
0.006490742417997939,0.9476918229084607,0.00873900304443288,0.9190253568867739,0.1042604013084177,3.0,HI-VAE_weibull
0.005270764510778987,0.9568299984244525,0.011446627692656256,0.9154268952480281,0.11882944207715143,5.0,HI-VAE_weibull
0.005870306064947197,0.9528911296675595,0.01515535633348075,0.910932794472329,0.10801770953483984,4.0,HI-VAE_weibull
0.005987783521416601,0.9516306916653537,0.013635233512200811,0.9163585163939769,0.17977885048613676,4.0,HI-VAE_weibull
0.006536149870347578,0.9513155821648023,0.016880453289797162,0.9221437976663843,0.11270739362709752,3.0,HI-VAE_weibull
